TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	label
mit	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
städtischen	O	_	O	_	_	O	_	_	_	6
Kanalräumern	O	_	O	_	_	O	_	_	NoSpaceAfter	6
ist	O	_	O	_	_	O	_	_	_	6
bisher	O	_	O	_	_	O	_	_	_	6
erfolglos	O	_	O	_	_	O	_	_	_	6
gewesen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Wenn	O	_	O	_	_	O	_	_	_	6
tatsächlich	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
Menschenleben	O	_	O	_	_	O	_	_	_	6
umge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
kommen	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
so	O	_	O	_	_	O	_	_	_	6
ist	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
vermuten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
man	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	NoSpaceAfter	6
eine	O	_	O	_	_	O	_	_	_	6
Leiche	O	_	O	_	_	O	_	_	_	6
erst	O	_	O	_	_	O	_	_	_	6
bei	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
herabgelassenen	O	_	O	_	_	O	_	_	_	6
Gitter	O	_	O	_	_	O	_	_	NoSpaceAfter	6
des	O	_	O	_	_	O	_	_	_	6
Sammelkanals	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Erdberg	O	_	O	_	_	O	_	_	_	6
stößt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
wo	O	_	O	_	_	O	_	_	_	6
diese	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Kanalteile	O	_	O	_	_	O	_	_	_	6
ihren	O	_	O	_	_	O	_	_	_	6
Ausfluß	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Donaukanal	O	_	O	_	_	O	_	_	NoSpaceAfter	6
haben	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Illustrierte	O	_	O	_	_	O	_	_	_	6
Kronen=Zeitung	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Seite	O	_	O	_	_	O	_	_	_	6
5	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Nr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
12	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
012	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Eingesendet	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
WA	O	_	O	_	_	O	_	_	NoSpaceAfter	6
LOTTERIE	O	_	O	_	_	O	_	_	_	6
DER	O	_	O	_	_	O	_	_	NoSpaceAfter	6
barmherzigen	O	_	O	_	_	O	_	_	_	6
Brüder	O	_	O	_	_	O	_	_	NoSpaceAfter	6
LOSPREIS	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	_	6
SCHILLING	O	_	O	_	_	O	_	_	NoSpaceAfter	6
HAUPTTREFFER	O	_	O	_	_	O	_	_	_	6
10	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
000	O	_	O	_	_	O	_	_	_	6
SCHILLING	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Erhältlich	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
allen	O	_	O	_	_	O	_	_	_	6
Trafiken	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Lottokollekturen	O	_	O	_	_	O	_	_	_	6
Wechseistuben	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	_	6
lotterieburo	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Wien	O	_	O	_	_	O	_	_	_	6
H	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Gr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Mohrengasse	O	_	O	_	_	O	_	_	_	6
9	O	_	O	_	_	O	_	_	NoSpaceAfter	6
ZIEHUNG	O	_	O	_	_	O	_	_	_	6
AM	O	_	O	_	_	O	_	_	_	6
29	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
JULI	O	_	O	_	_	O	_	_	_	6
1933	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
153	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Gräßlicher	O	_	O	_	_	O	_	_	_	6
Frauenmord	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	NoSpaceAfter	6
offener	O	_	O	_	_	O	_	_	_	6
Straße	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Ein	O	_	O	_	_	O	_	_	_	6
geschiedener	O	_	O	_	_	O	_	_	_	6
Mann	O	_	O	_	_	O	_	_	_	6
tötet	O	_	O	_	_	O	_	_	_	6
seine	O	_	O	_	_	O	_	_	_	6
Geliebte	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
Weil	O	_	O	_	_	O	_	_	_	6
sie	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
ihm	O	_	O	_	_	O	_	_	_	6
nichts	O	_	O	_	_	O	_	_	_	6
mehr	O	_	O	_	_	O	_	_	NoSpaceAfter	6
wissen	O	_	O	_	_	O	_	_	_	6
wollte	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
Furchtbare	O	_	O	_	_	O	_	_	_	6
Bluttat	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Favoriten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
—	O	_	O	_	_	O	_	_	_	6
Der	O	_	O	_	_	O	_	_	_	6
Täter	O	_	O	_	_	O	_	_	_	6
verhaftet	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	NoSpaceAfter	6
geständig	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Samstag	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
1	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Juli	O	_	O	_	_	O	_	_	_	6
1933	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Jungmännerbeeidigung	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Krems	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Am	O	_	O	_	_	O	_	_	_	6
Peter=und=Paulstag	O	_	O	_	_	O	_	_	_	6
fand	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Krems	O	_	O	_	_	O	_	_	NoSpaceAfter	6
die	O	_	O	_	_	O	_	_	_	6
feierliche	O	_	O	_	_	O	_	_	_	6
Beeidigung	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Jung¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
männer	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Garnison	O	_	O	_	_	O	_	_	_	6
statt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Hiezu	O	_	O	_	_	O	_	_	_	6
hatten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
auf	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
Festplatz	O	_	O	_	_	O	_	_	_	6
an	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Steinerlände	O	_	O	_	_	O	_	_	_	6
unter	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Kommando	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Ortskommandanten	O	_	O	_	_	O	_	_	_	6
Oberst	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Oberweger	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	_	6
neueingeführten	O	_	O	_	_	O	_	_	_	6
Soldaten¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
kleid	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
alten	O	_	O	_	_	O	_	_	_	6
Armee	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
ein	O	_	O	_	_	O	_	_	_	6
kombiniertes	O	_	O	_	_	O	_	_	_	6
Jung¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
männerbataillon	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Truppen	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Kremser	O	_	O	_	_	O	_	_	_	6
Gar¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
nison	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Affistenzkompagnie	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
christlich¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
deutschen	O	_	O	_	_	O	_	_	_	6
Turnerschaft	O	_	O	_	_	O	_	_	_	6
Aufstellung	O	_	O	_	_	O	_	_	_	6
genommen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Heeresminister	O	_	O	_	_	O	_	_	_	6
General	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Infanterie	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Vaugoin	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Generalsuniform	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	_	6
Motorboot	O	_	O	_	_	O	_	_	NoSpaceAfter	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Forelle	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	_	6
durch	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Kommandanten	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
ver¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
einigten	O	_	O	_	_	O	_	_	_	6
Brückenzüge	O	_	O	_	_	O	_	_	_	6
aus	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Wachau	O	_	O	_	_	O	_	_	_	6
eingeholt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
schritt	O	_	O	_	_	O	_	_	_	6
unter	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Klängen	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Bundeshymne	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
bei	O	_	O	_	_	O	_	_	NoSpaceAfter	6
der	O	_	O	_	_	O	_	_	_	6
Ankunft	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Salutschüssen	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Patrouillenbootes	O	_	O	_	_	O	_	_	_	6
„	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Birago	O	_	O	_	_	O	_	_	NoSpaceAfter	6
""""	O	_	O	_	_	O	_	_	_	6
begrüßt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Front	O	_	O	_	_	O	_	_	NoSpaceAfter	6
der	O	_	O	_	_	O	_	_	_	6
Truppen	O	_	O	_	_	O	_	_	_	6
sowie	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Kameradschaftsvereine	O	_	O	_	_	O	_	_	_	6
ab	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Sodann	O	_	O	_	_	O	_	_	_	6
begab	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	_	6
vor	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Feldaltar	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
wo	O	_	O	_	_	O	_	_	_	6
sich	O	_	O	_	_	O	_	_	NoSpaceAfter	6
der	O	_	O	_	_	O	_	_	_	6
Bezirkshauptmann	O	_	O	_	_	O	_	_	_	6
Landesregierungsrat	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Dohndorf	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Prälat	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
Göttweig	O	_	O	_	_	O	_	_	_	6
Doktor	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Strohsacker	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
Vertreter	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Stadt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
ge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
richtlichen	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
sonstigen	O	_	O	_	_	O	_	_	_	6
Behörden	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
viele	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Ehrengäste	O	_	O	_	_	O	_	_	_	6
versammelt	O	_	O	_	_	O	_	_	_	6
hatten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Nach	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Feldmesse	O	_	O	_	_	O	_	_	_	6
hielt	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Heeresminister	O	_	O	_	_	O	_	_	NoSpaceAfter	6
eine	O	_	O	_	_	O	_	_	_	6
Ansprache	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	_	6
Anschlag	O	_	O	_	_	O	_	_	_	6
im	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Alauntal	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
sprechen	O	_	O	_	_	O	_	_	_	6
kam	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
ruhmvollen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Vergangenheit	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Hesser	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
alten	O	_	O	_	_	O	_	_	_	6
Brücken¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
bataillons	O	_	O	_	_	O	_	_	_	6
gedachte	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
An	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Ansprache	O	_	O	_	_	O	_	_	_	6
schloß	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Beeidigung	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Soldaten	O	_	O	_	_	O	_	_	_	6
sowie	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
Dekorierung	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
verdienst¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
vollen	O	_	O	_	_	O	_	_	_	6
Funktionärs	O	_	O	_	_	O	_	_	_	6
des	O	_	O	_	_	O	_	_	_	6
Hesserbundes	O	_	O	_	_	O	_	_	_	6
Rechnungs¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
rat	O	_	O	_	_	O	_	_	_	6
Klamminger	O	_	O	_	_	O	_	_	_	6
an	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Eine	O	_	O	_	_	O	_	_	_	6
stramme	O	_	O	_	_	O	_	_	_	6
De¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
filierung	O	_	O	_	_	O	_	_	_	6
beendete	O	_	O	_	_	O	_	_	_	6
die	O	_	O	_	_	O	_	_	_	6
militärische	O	_	O	_	_	O	_	_	_	6
Feier	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Nach	O	_	O	_	_	O	_	_	_	6
derselben	O	_	O	_	_	O	_	_	_	6
stattete	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Heeresminister	O	_	O	_	_	O	_	_	NoSpaceAfter	6
den	O	_	O	_	_	O	_	_	_	6
noch	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Spitalspflege	O	_	O	_	_	O	_	_	_	6
befindlichen	O	_	O	_	_	O	_	_	_	6
verwun¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
deten	O	_	O	_	_	O	_	_	_	6
Assistenzmännern	O	_	O	_	_	O	_	_	_	6
einen	O	_	O	_	_	O	_	_	_	6
Besuch	O	_	O	_	_	O	_	_	_	6
ab	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Am	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Nachmittag	O	_	O	_	_	O	_	_	_	6
wurde	O	_	O	_	_	O	_	_	_	6
Minister	O	_	O	_	_	O	_	_	_	6
Vaugoin	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Loiben	O	_	O	_	_	O	_	_	NoSpaceAfter	6
aus	O	_	O	_	_	O	_	_	_	6
Anlaß	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
bevorstehenden	O	_	O	_	_	O	_	_	_	6
Vollendung	O	_	O	_	_	O	_	_	_	6
seines	O	_	O	_	_	O	_	_	NoSpaceAfter	6
60	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Lebensjahres	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
das	O	_	O	_	_	O	_	_	_	6
Ehrenbürgerrecht	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Ge¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
meinden	O	_	O	_	_	O	_	_	_	6
Ober=	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
Unterloiben	O	_	O	_	_	O	_	_	_	6
verliehen	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	NoSpaceAfter	6
ein	O	_	O	_	_	O	_	_	_	6
Ehrendiplom	O	_	O	_	_	O	_	_	_	6
überreicht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Ein	O	_	O	_	_	O	_	_	_	6
Knabe	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
einem	O	_	O	_	_	O	_	_	_	6
Auto	O	_	O	_	_	O	_	_	_	6
getötet	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Karl	O	_	O	_	_	O	_	_	_	6
Amon	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	NoSpaceAfter	6
der	O	_	O	_	_	O	_	_	_	6
kürzlich	O	_	O	_	_	O	_	_	_	6
von	O	_	O	_	_	O	_	_	_	6
einem	O	_	O	_	_	O	_	_	_	6
Lastkraftwagen	O	_	O	_	_	O	_	_	_	6
über¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
fahren	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
getötet	O	_	O	_	_	O	_	_	_	6
wurde	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Ein	O	_	O	_	_	O	_	_	_	6
Liebesverhältnis	O	_	O	_	_	O	_	_	_	6
zwischen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
einer	O	_	O	_	_	O	_	_	_	6
geschiedenen	O	_	O	_	_	O	_	_	_	6
Frau	O	_	O	_	_	O	_	_	_	6
und	O	_	O	_	_	O	_	_	_	6
einem	O	_	O	_	_	O	_	_	_	6
gleich¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
falls	O	_	O	_	_	O	_	_	_	6
geschiedenen	O	_	O	_	_	O	_	_	_	6
Mann	O	_	O	_	_	O	_	_	_	6
hat	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Nacht	O	_	O	_	_	O	_	_	NoSpaceAfter	6
von	O	_	O	_	_	O	_	_	_	6
Donnerstag	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	_	6
Freitag	O	_	O	_	_	O	_	_	_	6
in	O	_	O	_	_	O	_	_	_	6
Favoriten	O	_	O	_	_	O	_	_	NoSpaceAfter	6
ein	O	_	O	_	_	O	_	_	_	6
entsetzliches	O	_	O	_	_	O	_	_	_	6
Ende	O	_	O	_	_	O	_	_	_	6
gefunden	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Die	O	_	O	_	_	O	_	_	_	6
41jährige	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Hilfsarbeiterin	O	_	O	_	_	O	_	_	_	6
Hermine	O	_	O	_	_	O	_	_	_	6
Gabriel	O	_	O	_	_	O	_	_	_	6
mußte	O	_	O	_	_	O	_	_	_	6
es	O	_	O	_	_	O	_	_	NoSpaceAfter	6
mit	O	_	O	_	_	O	_	_	_	6
ihrem	O	_	O	_	_	O	_	_	_	6
Leben	O	_	O	_	_	O	_	_	_	6
bezahlen	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
daß	O	_	O	_	_	O	_	_	_	6
sie	O	_	O	_	_	O	_	_	_	6
den	O	_	O	_	_	O	_	_	NoSpaceAfter	6
66jährigen	O	_	O	_	_	O	_	_	_	6
Branntweinschenker	O	_	O	_	_	O	_	_	_	6
Johann	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Ostner	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
zu	O	_	O	_	_	O	_	_	_	6
dem	O	_	O	_	_	O	_	_	_	6
sie	O	_	O	_	_	O	_	_	_	6
beinahe	O	_	O	_	_	O	_	_	_	6
fünf	O	_	O	_	_	O	_	_	_	6
Jahre	O	_	O	_	_	O	_	_	_	6
hin¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
durch	O	_	O	_	_	O	_	_	_	6
Beziehungen	O	_	O	_	_	O	_	_	_	6
unterhielt	O	_	O	_	_	O	_	_	NoSpaceAfter	6
,	O	_	O	_	_	O	_	_	_	6
vor	O	_	O	_	_	O	_	_	_	6
einiger	O	_	O	_	_	O	_	_	NoSpaceAfter	6
Zeit	O	_	O	_	_	O	_	_	_	6
abgewiesen	O	_	O	_	_	O	_	_	_	6
hatte	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfSentence	6
Der	O	_	O	_	_	O	_	_	_	6
Mörder	O	_	O	_	_	O	_	_	_	6
konnte	O	_	O	_	_	O	_	_	_	6
gestern	O	_	O	_	_	O	_	_	_	6
vor¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
mittags	O	_	O	_	_	O	_	_	_	6
auf	O	_	O	_	_	O	_	_	_	6
der	O	_	O	_	_	O	_	_	_	6
Wieden	O	_	O	_	_	O	_	_	_	6
verhaftet	O	_	O	_	_	O	_	_	_	6
wer¬	O	_	O	_	_	O	_	_	NoSpaceAfter|EndOfLine	6
den	O	_	O	_	_	O	_	_	NoSpaceAfter	6
.	O	_	O	_	_	O	_	_	_	6
Als	O	_	O	_	_	O	_	_	_	6
er	O	_	O	_	_	O	_	_	_	6
einsehen	O	_	O	_	_	O	_	_	_	6
